model,n_features,accuracy,precision,recall,f1,roc_auc
1. Chỉ văn bản (PhoBERT),768,0.9412503927112786,0.9328859060402684,0.9410968178740691,0.9369733737782272,0.9846146183647503
2. Hybrid đầy đủ (PhoBERT + 10 meta),778,0.976751492302859,0.9698593436034829,0.980365605958023,0.9750841750841751,0.9971163943261308
3. PhoBERT + Metadata người dùng (5),773,0.9720389569588439,0.963903743315508,0.976303317535545,0.9700639085099226,0.996747708712172
4. PhoBERT + Thống kê văn bản (5),773,0.9481621112158342,0.9408602150537635,0.9478672985781991,0.9443507588532883,0.9884866110370742
5. Chỉ metadata (10) — không PhoBERT,10,0.9591580270185359,0.9457313037723362,0.967501692620176,0.9564926372155288,0.991250364121691
6. Chỉ metadata người dùng (5),5,0.9289978008168395,0.8902058640049907,0.96614759647935,0.9266233766233766,0.9771609382155932
7. Chỉ thống kê văn bản (5),5,0.8268928683631794,0.8018252933507171,0.8327691266079892,0.8170043175024909,0.9061613755584853
